ID,SMILES,NaClg/L,IE,TempK,Concentrationg/L
10001.0,S=c1nccc[nH]1,10.0,0.9124,313.0,0.02
10002.0,S=c1nccc[nH]1,50.0,0.8556,313.0,0.02
10003.0,S=c1nccc[nH]1,100.0,0.8331000000000001,313.0,0.02
10004.0,S=c1nccc[nH]1,150.0,0.8173,313.0,0.02
10005.0,S=c1nccc[nH]1,200.0,0.7629,313.0,0.02
10006.0,c3ccc(CSc2nc1ccccc1[nH]2)cc3,2.587,0.9079999999999999,333.0,0.1
10007.0,CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,0.634,298.0,0.09644382999999997
10008.0,CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,0.6809999999999999,298.0,0.20666534999999991
10009.0,CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,0.8220000000000001,298.0,0.4822191499999998
10010.0,CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,0.92,298.0,0.9644382999999996
10011.0,"
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,0.67,298.0,0.10037138999999998
10012.0,"
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,0.8009999999999999,298.0,0.21508154999999993
10013.0,"
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,0.86,298.0,0.5018569499999999
10014.0,"
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,0.94,298.0,1.0037138999999997
10015.0,Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35.0,0.39799999999999996,323.0,0.0026527200000000008
10016.0,Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35.0,0.589,323.0,0.006631800000000002
10017.0,Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35.0,0.826,323.0,0.013263600000000004
10018.0,Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35.0,0.914,323.0,0.026527200000000008
10019.0,Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35.0,0.983,323.0,0.13263600000000003
10020.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.355,323.0,0.0034137000000000013
10021.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.561,323.0,0.008534250000000004
10022.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.7979999999999999,323.0,0.017068500000000007
10023.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.897,323.0,0.034137000000000015
10024.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.972,323.0,0.17068500000000006
10025.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.271,323.0,0.0034137000000000013
10026.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.475,323.0,0.008534250000000004
10027.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.723,323.0,0.017068500000000007
10028.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.852,323.0,0.034137000000000015
10029.0,Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35.0,0.9420000000000001,323.0,0.17068500000000006
