ID,NaClg/L,TempK,Concentrationg/L
10381,35,323,0.15
10382,35,323,0.2
10383,35,298,0.025
10384,35,298,0.05
10385,35,298,0.075
10386,35,298,0.1
10387,35,298,0.15
10388,35,298,0.3
10389,35,298,0.45
10390,35,298,0.6
10391,35,298,0.9
10392,35,323,0.1
10393,35,323,0.2
10394,35,323,0.3
10395,35,323,0.4
10396,62.36,333,0.00111169
10397,62.36,333,0.00222338
10398,62.36,333,0.00444676
10399,62.36,333,0.0111169
10400,62.36,333,0.0222338
10401,62.36,333,0.00120189
10402,62.36,333,0.00240378
10403,62.36,333,0.00480756
10404,62.36,333,0.0120189
10405,62.36,333,0.0240378
10406,62.36,333,0.00148243
10407,62.36,333,0.00296486
10408,62.36,333,0.00592972
10409,62.36,333,0.0148243
10410,62.36,333,0.0296486
10413,17.31,298,0.249888
10414,17.31,298,0.499776
10415,17.31,298,0.005045425
10416,17.31,298,0.01009085
10417,17.31,298,0.0201817
10418,62.36,333,0.0232312
10419,50,313,0.1
10420,50,313,0.2
10421,50,313,0.3
10422,50,313,0.4
10423,50,313,0.1
10424,50,313,0.2
10425,50,313,0.3
10426,50,313,0.4
10427,10,313,0.02
10427.1,50,313,0.02
10427.2,100,313,0.02
10427.3,150,313,0.02
10427.4,200,313,0.02
10428,35,323,0.00271251
10429,35,323,0.00542502
10430,35,323,0.0271251
10431,35,323,0.0542502
10432,35,323,0.271251
10433,35,323,0.542502
10434,35,323,0.00285278
10435,35,323,0.00570556
10436,35,323,0.0285278
10437,35,323,0.0570556
10438,35,323,0.285278
10439,35,323,0.570556
10440,35,323,0.00285278
10441,35,323,0.00570556
10442,35,323,0.0285278
10443,35,323,0.0570556
10444,35,323,0.285278
10445,35,323,0.570556
10446,35,298,0.013346475
10447,35,298,0.02669295
10448,35,298,0.040039425
10449,35,298,0.0533859
10450,35,308,0.013346475
10451,35,308,0.02669295
10452,35,308,0.040039425
10453,35,308,0.0533859
10454,35,328,0.013346475
10455,35,328,0.02669295
10456,35,328,0.040039425
10457,35,328,0.0533859
10458,35,348,0.013346475
10459,35,348,0.02669295
10460,35,348,0.040039425
10461,35,348,0.0533859
10462,62.36,338,0.00116156
10463,62.36,338,0.00232312
10464,62.36,338,0.00464624
10465,62.36,338,0.0116156
10466,62.36,338,0.0232312
10467,62.36,338,0.0464624
10468,62.36,338,0.0929248
10469,0,298,0.01
10470,0,298,0.025
10471,0,298,0.05
10472,0,298,0.1
10473,0,298,0.15
10474,0,298,0.01
10475,0,298,0.025
10476,0,298,0.05
10477,0,298,0.1
10478,0,298,0.15
10479,35,345,0.03
10480,35,345,0.06
10481,35,345,0.09
10482,35,345,0.12
10483,35,345,0.15
10484,29.25,303,0.0005
10485,29.25,303,0.001
10486,29.25,303,0.005
10487,29.25,303,0.01
10488,29.25,303,0.02
10489,29.25,303,0.05
10490,29.25,303,0.1
10491,29.25,313,0.0005
10492,29.25,313,0.001
10493,29.25,313,0.005
10494,29.25,313,0.01
10495,29.25,313,0.02
10496,29.25,313,0.05
10497,29.25,313,0.1
10498,29.25,323,0.0005
10499,29.25,323,0.001
10500,29.25,323,0.005
10501,29.25,323,0.01
10502,29.25,323,0.02
10503,29.25,323,0.05
10504,29.25,323,0.1
10505,29.25,303,0.0005
10506,29.25,303,0.001
10507,29.25,303,0.005
10508,29.25,303,0.01
10509,29.25,303,0.02
10510,29.25,303,0.05
10511,29.25,303,0.1
10512,29.25,313,0.0005
10513,29.25,313,0.001
10514,29.25,313,0.005
10515,29.25,313,0.01
10516,29.25,313,0.02
10517,29.25,313,0.05
10518,29.25,313,0.1
10519,29.25,323,0.0005
10520,29.25,323,0.001
10521,29.25,323,0.005
10522,29.25,323,0.01
10523,29.25,323,0.02
10524,29.25,323,0.05
10525,29.25,323,0.1
10532,20,293,0.05
10533,20,293,0.1
10534,20,293,0.2
10535,20,293,0.4
10536,20,293,0.7
10537,20,293,1
10538,20,333,0.05
10539,20,333,0.1
10540,20,333,0.2
10541,20,333,0.4
10542,20,333,0.7
10543,20,333,1
10544,0,333,0.05
10545,0,333,0.05
10546,30,323,0.005
10547,30,323,0.01
10548,30,323,0.025
10549,30,323,0.05
10550,30,323,0.1
10551,62.36,333,0.000247348
10552,62.36,333,0.00061837
10553,62.36,333,0.00123674
10554,62.36,333,0.00247348
10555,62.36,333,0.0061837
10556,62.36,333,0.0123674
10557,62.36,333,0.000253377
10558,62.36,333,0.000633443
10559,62.36,333,0.001266885
10560,62.36,333,0.00253377
10561,62.36,333,0.006334425
10562,62.36,333,0.01266885
10567,35,298,0.1973133
10568,35,298,0.39901134
10569,35,298,0.59632464
10570,35,298,0.99533598
10574,35,298,0.02
10575,35,298,0.04
10576,35,298,0.08
10577,62.36,333,0.0528772
10578,62.36,333,0.00558315
10579,35,333,0.5
10580,35,333,0.5
10581,35,333,0.5
10582,0,333,0.1
10583,0,333,0.2
10584,0,333,0.3
10585,0,333,0.4
10586,0,333,0.1
10587,0,333,0.2
10588,0,333,0.3
10589,0,333,0.4
10590,0,333,0.1
10591,0,333,0.2
10592,0,333,0.3
10593,0,333,0.4
10594,30,298,0.05
10595,30,298,0.1
10596,30,298,0.2
10597,30,298,0.3
10598,35,298,0.025
10599,35,298,0.05
10600,35,298,0.075
10601,35,298,0.1
10602,35,298,0.025
10603,35,298,0.05
10604,35,298,0.075
10605,35,298,0.1
10606,35,298,0.005
10607,35,298,0.01
10608,35,298,0.025
10609,35,298,0.05
10610,35,298,0.1
10611,35,353,0.03
10612,35,353,0.05
10613,35,353,0.08
10614,35,353,0.1
10615,35,353,0.03
10616,35,353,0.05
10617,35,353,0.08
10618,35,353,0.1
10619,35,333,0.02
10620,35,333,0.02
10621,35,333,0.02
10622,58.5,343,0.01
10623,58.5,343,0.025
10624,58.5,343,0.05
10625,58.5,343,0.075
10626,58.5,343,0.1
10627,58.5,343,0.01
10628,58.5,343,0.025
10629,58.5,343,0.05
10630,58.5,343,0.075
10631,58.5,343,0.1
10632,58.5,343,0.01
10633,58.5,343,0.025
10634,58.5,343,0.05
10635,58.5,343,0.075
10636,58.5,343,0.1
10637,35,298,0.025
10638,35,298,0.05
10639,35,298,0.075
10640,35,298,0.1
10641,35,298,0.025
10642,35,298,0.05
10643,35,298,0.075
10644,35,298,0.1
10645,35,298,0.025
10646,35,298,0.05
10647,35,298,0.1
10648,2.896,343,0.005
10649,2.896,343,0.01
10650,2.896,343,0.02
10651,2.896,343,0.04
10652,2.896,343,0.08
10653,35,298,0.1
10654,35,298,0.2
10655,35,298,0.3
10656,35,298,0.4
10657,35,298,0.5
10658,35,298,0.1
10659,35,298,0.2
10660,35,298,0.3
10661,35,298,0.4
10662,35,298,0.5
10663,35,298,0.1
10664,35,298,0.2
10665,35,298,0.3
10666,35,298,0.4
10667,35,298,0.5
10668,2.896,343,0.005
10669,2.896,343,0.01
10670,2.896,343,0.02
10671,2.896,343,0.04
10672,2.896,343,0.08
10673,35,298,0.4
10674,35,298,0.4
10675,0,343,0.025
10676,0,343,0.025
10677,58.5,343,0.025
10678,58.5,343,0.05
10679,58.5,343,0.075
10680,35,298,0.1
10681,35,298,0.2
10682,35,298,0.3
10683,35,298,0.4
10684,16.5,323,0.1
10685,16.5,323,0.1
10686,35,333,0.03
10687,35,333,0.03
10688,35,308,0.4
10689,35,308,0.4
10690,35,308,0.4
10691,35,298,0.5
10692,30,298,0.01
10693,30,298,0.005
10694,30,298,0.005
10695,30,313,0.002003473
10696,30,313,0.005008682
10697,30,313,0.010017363
10698,30,313,0.020034726
10699,30,333,0.002003473
10700,30,333,0.005008682
10701,30,333,0.010017363
10702,30,333,0.020034726
10703,30,313,0.002003473
10704,30,313,0.005008682
10705,30,313,0.010017363
10706,30,313,0.020034726
10707,30,333,0.002003473
10708,30,333,0.005008682
10709,30,333,0.010017363
10710,30,333,0.020034726
10711,30,323,0.1
10712,30,323,0.1
10713,30,323,0.1
10714,30,323,0.1
10715,7.3,298,0.04
10716,7.3,298,0.08
10717,35,313,0.05
10718,35,313,0.1
10719,35,313,0.2
10720,35,313,0.4
10721,35,313,0.05
10722,35,313,0.1
10723,35,313,0.2
10724,35,313,0.4
10725,0,298,0.05
10726,0,298,0.1
10727,0,298,0.15
10728,0,298,0.2
10729,0,298,0.3
10730,0,298,0.4
10731,0,298,0.05
10732,0,298,0.1
10733,0,298,0.15
10734,0,298,0.2
10735,0,298,0.3
10736,0,298,0.4
10737,0,298,0.05
10738,0,298,0.1
10739,0,298,0.15
10740,0,298,0.2
10741,0,298,0.3
10742,0,298,0.4
10743,0,353,0.01
10744,0,353,0.02
10745,0,353,0.03
10746,0,353,0.06
10747,0,353,0.08
10748,30,313,6.18849
10749,30,343,6.18849
10750,30,313,6.18849
10751,30,343,6.18849
10752,30,298,0.02
10753,30,298,0.04
10754,30,298,0.06
10755,30,298,0.08
10756,30,298,0.02
10757,30,298,0.04
10758,30,298,0.06
10759,30,298,0.08
10760,30,333,0.02
10761,30,333,0.05
10762,30,333,0.1
10763,30,333,0.005
10764,30,333,0.01
10765,30,333,0.02
10766,30,333,0.05
10767,30,333,0.1
10768,117.31,333,0.005
10769,117.31,333,0.01
10770,117.31,333,0.02
10771,117.31,333,0.04
10772,117.31,333,0.06
10773,35,298,0.025
10774,35,298,0.05
10775,35,298,0.1
10776,35,298,0.2
10777,29.25,313,0.02
10778,29.25,313,0.05
10779,29.25,313,0.1
10780,29.25,313,0.02
10781,29.25,313,0.05
10782,29.25,313,0.1
10783,29.25,313,0.02
10784,29.25,313,0.05
10785,29.25,313,0.1
10786,29.25,313,0.02
10787,29.25,313,0.05
10788,29.25,313,0.1
10789,90.383,333,0.011405152
10790,90.383,333,0.0356411
10791,90.383,333,0.11405152
10792,90.383,333,0.356411
10793,90.383,333,1.1405152
10794,90.383,333,0.011470336
10795,90.383,333,0.0358448
10796,90.383,333,0.11470336
10797,90.383,333,0.358448
10798,90.383,333,1.1470336
10799,292.5,333.15,0.05
10800,292.5,333.15,0.1
10801,292.5,333.15,0.15
10802,292.5,333.15,0.2
10803,292.5,333.15,0.25
10804,30,298,0.3
10805,30,298,0.4
10806,30,298,0.5
10807,30,333,0.05
10808,30,333,0.1
10809,30,333,0.2
10810,30,333,0.4
10811,30,298,0.005
10812,30,298,0.01
10813,30,298,0.02
10814,30,298,0.05
10815,30,298,0.005
10816,30,298,0.01
10817,30,298,0.02
10818,30,298,0.05
10819,30,298,0.005
10820,30,298,0.01
10821,30,298,0.02
10822,30,298,0.05
10823,30,298,0.005
10824,30,298,0.01
10825,30,298,0.02
10826,30,298,0.05
10827,50,298,3.7989912
10828,50,298,5.7119584
10829,50,298,7.5979824
10830,29.25,313,0.001
10831,29.25,313,0.005
10832,29.25,313,0.01
10833,29.25,313,0.02
10834,29.25,313,0.05
10835,29.25,313,0.1
10836,29.25,313,0.001
10837,29.25,313,0.005
10838,29.25,313,0.01
10839,29.25,313,0.02
10840,29.25,313,0.05
10841,29.25,313,0.1
10842,29.25,313,0.001
10843,29.25,313,0.005
10844,29.25,313,0.01
10845,29.25,313,0.02
10846,29.25,313,0.05
10847,29.25,313,0.1
10848,29.25,313,0.001
10849,29.25,313,0.005
10850,29.25,313,0.01
10851,29.25,313,0.02
10852,29.25,313,0.05
10853,29.25,313,0.1
10854,29.25,313,0.001
10855,29.25,313,0.005
10856,29.25,313,0.01
10857,29.25,313,0.02
10858,29.25,313,0.05
10859,29.25,313,0.1
10860,29.25,313,0.001
10861,29.25,313,0.005
10862,29.25,313,0.01
10863,29.25,313,0.02
10864,29.25,313,0.05
10865,29.25,313,0.1
10866,35,298,0.05
10867,35,298,0.1
10868,35,298,0.2
10869,35,298,0.4
10870,30,333,0.002003473
10871,30,333,0.005008682
10872,30,333,0.008013891
10873,30,333,0.010017363
10874,30,333,0.020034726
10875,35,298,0.05
10876,35,298,0.1
10877,35,298,0.2
10878,35,298,0.05
10879,35,298,0.1
10880,35,298,0.2
10881,35,298,0.05
10882,35,298,0.1
10883,35,298,0.2
10884,35,298,0.05
10885,35,298,0.1
10886,35,298,0.2
10887,30,333,0.025
10888,30,333,0.05
10889,30,333,0.1
10890,30,333,0.2
10891,30,333,0.3
10892,30,333,0.4
10893,30,298,0.1
10894,30,313,0.1
10895,30,333,0.1
10896,30,353,0.1
10897,16.6172,298,0.01
10898,16.6172,298,0.02
10899,16.6172,298,0.03
10900,16.6172,298,0.04
10901,16.6172,298,0.05
10902,16.6172,298,0.06
10903,16.6172,298,0.07
10904,16.6172,298,0.3
10905,10,323,300
10906,10,323,500
10907,10,323,700
10908,10,323,900
10909,50,323,500
10910,50,323,900
10911,100,323,700
10912,100,323,900
10913,30,333,0.01
10914,30,333,0.01
10915,30,333,0.05
10916,30,333,0.1
10917,35,393,0.005
10918,35,393,0.005
10919,35,393,0.005
10920,35,393,0.005
10921,12.029,323,0.025
10922,12.029,323,0.05
10923,12.029,323,0.075
10924,12.029,323,0.1
10925,12.029,323,0.125
10926,12.029,323,0.15
10927,2.15,333,0.1
10928,2.15,333,0.05
10929,30,323,0.025
10930,30,323,0.025
10931,30,323,0.025
10932,0,298,0.05
10933,0,298,0.1
10934,0,298,0.2
10935,29.25,313,0.001
10936,29.25,313,0.005
10937,29.25,313,0.01
10938,29.25,313,0.02
10939,29.25,313,0.05
10940,29.25,313,0.1
10941,29.25,313,0.001
10942,29.25,313,0.005
10943,29.25,313,0.01
10944,29.25,313,0.02
10945,29.25,313,0.05
10946,29.25,313,0.1
10947,29.25,303,0.001
10948,29.25,303,0.002
10949,29.25,303,0.003
10950,29.25,303,0.005
10951,29.25,303,0.01
10952,29.25,303,0.02
10953,29.25,313,0.001
10954,29.25,313,0.005
10955,29.25,313,0.01
10956,29.25,313,0.02
10957,29.25,313,0.05
10958,29.25,313,0.1
10959,29.25,323,0.001
10960,29.25,323,0.002
10961,29.25,323,0.003
10962,29.25,323,0.005
10963,29.25,323,0.01
10964,29.25,323,0.02
10965,35,393,0.005
10966,35,393,0.005
10967,35,393,0.005
10968,35,393,0.005
10969,35,298,0.25
10970,35,298,0.5
10971,35,298,1
10972,29.25,313,0.2
10973,29.25,313,0.2
10974,29.25,313,0.2
10975,30,298,0.1
10976,30,298,0.1
10977,35,298,0.0001
10978,35,298,0.0005
10979,35,298,0.001
10980,35,298,0.005
10981,35,298,0.01
10982,35,298,0.015
10983,35,298,0.0001
10984,35,298,0.0005
10985,35,298,0.001
10986,35,298,0.005
10987,35,298,0.01
10988,35,298,0.015
10989,35,298,0.02
10990,35,298,0.1
10991,35,298,0.15
10992,0.585,298,0.39712932
10993,300,298,300
10994,30,293,0.07
10995,30,343,0.07
11005,224.09,298,0.005
11006,224.09,298,0.01
11007,224.09,298,0.025
11008,224.09,298,0.005
11009,224.09,298,0.01
11010,224.09,298,0.025
11011,10,323,0.1
11012,10,323,0.1
11013,10,323,0.1
11014,10,323,0.1
11015,10,323,0.1
11016,0.585,298,0.01991292
11017,0.585,298,0.0995646
11018,0.585,298,0.39991781
11019,50,333,0.02
11020,50,333,0.05
11021,50,333,0.1
11022,50,333,0.15
11023,50,333,0.5
11024,30,303,0.1
11025,30,303,0.1
11026,30,303,0.1
11027,30,303,0.1
11028,0,298,0.004
11029,0,298,0.004
11030,30,333,0.01
11031,30,323,0.025
11032,30,323,0.01
11033,30,303,0.2
11034,30,313,0.1
11035,30,313,0.1
11036,30,313,0.1
11037,30,423,1.5
11038,30,423,1.5
11039,23.2065,298,0.1
11040,23.2065,298,0.1
11041,23.2065,298,0.1
11046,30,333,0.4
11047,10,308,0.05
11048,10,308,0.05
11049,10,308,0.05
11050,10,308,0.05
11051,50,298,0.000514671
11052,50,308,0.000514671
11053,50,318,0.000514671
11054,50,298,0.000992579
11055,50,308,0.000992579
11056,50,318,0.000992579
11057,50,298,0.0030145
11058,50,308,0.0030145
11059,50,318,0.0030145
11060,50,298,0.004999659
11061,50,308,0.004999659
11062,50,318,0.004999659
11063,50,298,0.009999318
11064,50,308,0.009999318
11065,50,318,0.009999318
11066,50,298,0.019998637
11067,50,308,0.019998637
11068,50,318,0.019998637
11069,0,295,0.646011
11070,30,323,0.004982918
11071,30,323,0.010275334
11072,30,323,0.025069338
11073,30,323,0.049829178
11074,30,323,0.102753336
11075,129.48,293,0.05
11076,129.48,293,0.1
11077,129.48,293,0.2
11078,129.48,313,0.05
11079,129.48,313,0.1
11080,129.48,313,0.2
11081,129.48,333,0.05
11082,129.48,333,0.1
11083,129.48,333,0.2
11084,129.48,293,0.05
11085,129.48,293,0.1
11086,129.48,293,0.2
11087,129.48,313,0.05
11088,129.48,313,0.1
11089,129.48,313,0.2
11090,129.48,333,0.05
11091,129.48,333,0.1
11092,129.48,333,0.2
11093,24.5,313,0.001
11094,24.5,313,0.00075
11095,24.5,313,0.001
11096,24.5,313,0.00075
11097,24.5,313,0.001
11098,24.5,313,0.00075
11099,24.5,313,0.001
11100,24.5,313,0.00075
11101,24.5,313,0.001
11102,24.5,313,0.00075
11103,30,298,0.1
11104,30,298,0.1
11105,30,298,0.1
11106,30,298,0.005
11107,30,298,0.01
11108,30,298,0.025
11109,30,298,0.05
11110,30,298,0.1
11111,117,298,39767.7
11112,117,298,159070.8
11113,117,298,397677
11114,117,298,795354
11115,117,298,1590708
11116,30,353,0.005
11117,30,353,0.01
11118,30,353,0.015
11119,30,353,0.02
11120,30,353,0.005
11121,30,353,0.01
11122,30,353,0.015
11123,30,353,0.02
11124,30,298,0.02
11125,30,298,0.04
11126,30,298,0.06
11127,30,298,0.08
11128,30,298,0.1
11129,30,298,0.2
11130,30,298,0.08
11131,30,313,0.08
11132,0,298,0.08
11133,2.925,298,0.08
11134,0,298,0.08
11135,30,298,0.1
11136,30,298,0.1
11137,30,298,0.1
11138,30,298,0.1
11139,30,298,0.1
11140,30,298,0.1
11141,30,298,0.1
11142,30,298,0.1
11143,30,298,0.1
11144,30,298,0.1
11145,30,298,0.1
11146,30,298,0.1
11147,30,298,0.1
11148,30,298,0.1
11149,30,298,0.1
11150,30,298,0.1
11151,30,298,0.02
11152,30,298,0.04
11153,30,298,0.08
11154,30,298,0.1
11155,30,313,0.08
11156,30,323,0.08
11157,30,298,0.08
11158,0,298,0.005
11159,0,298,0.01
11160,0,298,0.015
11161,0,298,0.02
11162,0,298,0.025
11163,0,298,0.005
11164,0,298,0.01
11165,0,298,0.015
