ID,SMILES,IE
10043.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)[O-],0.9928
10044.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],0.522
10045.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],0.7705
10046.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],0.93
10047.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],0.9903
10048.0,CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],0.995
10049.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.5801
10050.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.8695999999999999
10051.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.9278
10052.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.9484
10053.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.9489
10054.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.5613
10055.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.7131000000000001
10056.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.7354
10057.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.8887
10058.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.9460999999999999
10059.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.3829
10060.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.7071999999999999
10061.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.7093
10062.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.7551000000000001
